old_symbol	new_symbol
Dfy	ACKR1
CD234	ACKR1
FY	ACKR1
DARC	ACKR1
ACKR2	ACKR2
CCR10	ACKR2
D6	ACKR2
CCR9	ACKR2
CMKBR9	ACKR2
CCBP2	ACKR2
ACKR3	ACKR3
RDC1	ACKR3
GPR159	ACKR3
CMKOR1	ACKR3
CXCR7	ACKR3
ACKR4	ACKR4
CCR11	ACKR4
CCBP2	ACKR4
VSHK1	ACKR4
CCX-CKR	ACKR4
PPR1	ACKR4
CCRL1	ACKR4
ACLY	ACLY
ATPCL	ACLY
CLATP	ACLY
ACL	ACLY
ACMSD	ACMSD
ACO1	ACO1
IRP1	ACO1
IREBP	ACO1
IREB1	ACO1
ACO2	ACO2
ACONM	ACO2
ACOD1	ACOD1
CAD	ACOD1
IRG1	ACOD1
ACOT1	ACOT1
ACH2	ACOT1
CTE-1	ACOT1
LACH2	ACOT1
ACOT2	ACOT2
Mte1	ACOT2
ZAP128	ACOT2
ACOT4	ACOT4
FLJ31235	ACOT4
PTE-Ib	ACOT4
PTE2B	ACOT4
ACOT6	ACOT6
C14orf42	ACOT6
ACOT7	ACOT7
BACH	ACOT7
ACH1	ACOT7
ACT	ACOT7
CTE-II	ACOT7
LACH1	ACOT7
MGC1126	ACOT7
hBACH	ACOT7
ACOT8	ACOT8
hACTE-III	ACOT8
hTE	ACOT8
PTE-2	ACOT8
NAP1	ACOT8
PTE1	ACOT8
ACOT9	ACOT9
CGI-16	ACOT9
MT-ACT48	ACOT9
ACATE2	ACOT9
ACOT11	ACOT11
STARD14	ACOT11
BFIT	ACOT11
KIAA0707	ACOT11
BFIT1	ACOT11
THEM1	ACOT11
THEA	ACOT11
ACOT12	ACOT12
Cach	ACOT12
THEAL	ACOT12
STARD15	ACOT12
ACOT13	ACOT13
HT012	ACOT13
THEM2	ACOT13
ACOX1	ACOX1
PALMCOX	ACOX1
ACOX2	ACOX2
BRCACOX	ACOX2
BRCOX	ACOX2
THCCox	ACOX2
ACOX3	ACOX3
ACOXL	ACOXL
FLJ11042	ACOXL
ACP1	ACP1
HAAP	ACP1
LMW-PTP	ACP1
LMWPTP	ACP1
ACP2	ACP2
LAP	ACP2
ACP4	ACP4
ACPT	ACP4
ACP5	ACP5
TRAP	ACP5
HPAP	ACP5
ACP6	ACP6
LPAP	ACP6
ACPL1	ACP6
ACP7	ACP7
FLJ16165	ACP7
PAPL1	ACP7
PAPL	ACP7
ACPP	ACPP
ACP3	ACPP
ACP-3	ACPP
PAP	ACPP
ACR	ACR
ACRBP	ACRBP
SP32	ACRBP
OY-TES-1	ACRBP
CT23	ACRBP
ACRV1	ACRV1
SPACA2	ACRV1
SP-10	ACRV1
D11S4365	ACRV1
ACSBG1	ACSBG1
BGM	ACSBG1
FLJ30320	ACSBG1
MGC14352	ACSBG1
BG1	ACSBG1
KIAA0631	ACSBG1
hBG1	ACSBG1
hsBG	ACSBG1
ACSBG2	ACSBG2
BGR	ACSBG2
PRTD-NY3	ACSBG2
DKFZp434K1635	ACSBG2
ACSF2	ACSF2
FLJ20920	ACSF2
ACSMW	ACSF2
ACSF3	ACSF3
ACSL1	ACSL1
LACS2	ACSL1
LACS	ACSL1
ACS1	ACSL1
LACS1	ACSL1
FACL1	ACSL1
FACL2	ACSL1
ACSL3	ACSL3
ACS3	ACSL3
PRO2194	ACSL3
FACL3	ACSL3
ACSL4	ACSL4
ACS4	ACSL4
LACS4	ACSL4
FACL4	ACSL4
MRX63	ACSL4
MRX68	ACSL4
ACSL5	ACSL5
ACS5	ACSL5
ACS2	ACSL5
FACL5	ACSL5
ACSL6	ACSL6
KIAA0837	ACSL6
ACS2	ACSL6
LACS5	ACSL6
LACS2	ACSL6
FACL6	ACSL6
ACSM1	ACSM1
MACS1	ACSM1
BUCS1	ACSM1
ACSM2A	ACSM2A
A-923A4.1	ACSM2A
MGC150530	ACSM2A
ACSM2	ACSM2A
ACSM2B	ACSM2B
HXMA	ACSM2B
HYST1046	ACSM2B
ACSM2	ACSM2B
ACSM3	ACSM3
SA	ACSM3
SAH	ACSM3
ACSM4	ACSM4
ACSM5	ACSM5
FLJ20581	ACSM5
ACSM6	ACSM6
bA310E22.3	ACSM6
C10orf129	ACSM6
ACSS1	ACSS1
dJ568C11.3	ACSS1
AceCS2L	ACSS1
MGC33843	ACSS1
ACAS2L	ACSS1
ACSS2	ACSS2
ACS	ACSS2
ACSA	ACSS2
AceCS	ACSS2
dJ1161H23.1	ACSS2
ACAS2	ACSS2
ACSS3	ACSS3
FLJ21963	ACSS3
ACTA1	ACTA1
NEM3	ACTA1
ACTA	ACTA1
ACTA2	ACTA2
ACTSA	ACTA2
ACTB	ACTB
ACTBL2	ACTBL2
DKFZp686D0972	ACTBL2
ACTC1	ACTC1
CMD1R	ACTC1
ACTC	ACTC1
ACTG1	ACTG1
ACTG	ACTG1
DFNA20	ACTG1
DFNA26	ACTG1
ACTG2	ACTG2
ACTSG	ACTG2
ACTL3	ACTG2
ACTA3	ACTG2
ACTL6A	ACTL6A
Actl6	ACTL6A
BAF53A	ACTL6A
Arp4	ACTL6A
Baf53a	ACTL6A
INO80K	ACTL6A
ACTL6B	ACTL6B
BAF53B	ACTL6B
ACTL6	ACTL6B
ACTL7A	ACTL7A
ACTL7B	ACTL7B
Tact1	ACTL7B
ACTL8	ACTL8
CT57	ACTL8
ACTL9	ACTL9
MGC33407	ACTL9
ACTL10	ACTL10
C20orf134	ACTL10
ACTN1	ACTN1
ACTN2	ACTN2
ACTN3	ACTN3
ACTN4	ACTN4
FSGS1	ACTN4
ACTR1A	ACTR1A
ARP1	ACTR1A
Arp1A	ACTR1A
ACTR1B	ACTR1B
Arp1B	ACTR1B
CTRN2	ACTR1B
ACTR2	ACTR2
ARP2	ACTR2
ACTR3	ACTR3
ARP3	ACTR3
ACTR3B	ACTR3B
ARP11	ACTR3B
ARP3beta	ACTR3B
ACTR3C	ACTR3C
ARP11	ACTR3C
ACTR5	ACTR5
FLJ12785	ACTR5
Arp5	ACTR5
INO80M	ACTR5
ACTR6	ACTR6
ARP6	ACTR6
FLJ13433	ACTR6
ACTR8	ACTR8
INO80N	ACTR8
ACTR10	ACTR10
HARP11	ACTR10
ACTR11	ACTR10
Arp11	ACTR10
Arp10	ACTR10
ACTRT1	ACTRT1
AIP1	ACTRT1
KIAA0705	ACTRT1
ARIP1	ACTRT1
Arp-T1	ACTRT1
ACTRT2	ACTRT2
Arp-T2	ACTRT2
ARPM2	ACTRT2
FLJ25424	ACTRT2
