drug	type	atc
fosphenytoin	small molecule	N03AB05
clomipramine	small molecule	N06AA04
colistin	small molecule	A07AA10
spinach	biotech	
fluvoxamine	small molecule	N06AB08
licorice	biotech	
flutemetamol (18f)	small molecule	V09AX04
vinorelbine	small molecule	L01CA04
cefprozil	small molecule	J01DC10
fenfluramine	small molecule	A08AA02
nalidixic acid	small molecule	J01MB02
tigecycline	small molecule	J01AA20
streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
levonordefrin	small molecule	
gemfibrozil	small molecule	C10AB04
glucose	small molecule	V06DC01
vildagliptin	small molecule	A10BH02
diacetyl benzoyl lathyrol	small molecule	
cefpirome	small molecule	J01DE02
risperidone	small molecule	N05AX08
bromazepam	small molecule	N05BA08
sodium oxybate	small molecule	N01AX11
l-asparagine	small molecule	
hazelnut	biotech	
medrogestone	small molecule	G03FB07
tea tree oil	small molecule	
felypressin	small molecule	
oxetacaine	small molecule	C05AD06
sodium tartrate	small molecule	A06AD21
red currant	biotech	
iotroxic acid	small molecule	V08AC02
neisseria meningitidis group w-135 capsular polysaccharide diphtheria toxoid conjugate antigen	biotech	
quercus kelloggii pollen	biotech	
methocarbamol	small molecule	M03BA53
tuberculin purified protein derivative	biotech	
phenmetrazine	small molecule	
iron	small molecule	B03AE01
fluindione	small molecule	B01AA12
arsenic trioxide	small molecule	L01XX27
vanillyl butyl ether	small molecule	
solidago canadensis pollen	biotech	
bordetella pertussis fimbriae 2/3 antigen	biotech	
urofollitropin	biotech	G03GA04
ginger	biotech	
ethylmorphine	small molecule	S01XA06
chenopodium ambrosioides pollen	biotech	
polythiazide	small molecule	C03AA05
lettuce	biotech	
ademetionine	small molecule	A16AA02
zoledronic acid	small molecule	M05BB08
pergolide	small molecule	N04BC02
sulfisoxazole	small molecule	J01EB05
estriol	small molecule	G03CC06
hexocyclium	small molecule	A03AB10
norgestimate	small molecule	G03AA11
latamoxef	small molecule	J01DD06
anileridine	small molecule	N01AH05
streptococcus pneumoniae type 6b capsular polysaccharide antigen	biotech	
eteplirsen	biotech	
bumetanide	small molecule	C03EB02
tedizolid phosphate	small molecule	J01XX11
ambrosia deltoidea pollen	biotech	
pinus monticola pollen	biotech	
acacia baileyana pollen	biotech	
clonazepam	small molecule	N03AE01
xylose	small molecule	
methylphenidate	small molecule	N06BA04
sotalol	small molecule	C07AA57
insulin detemir	biotech	A10AE05
norepinephrine	small molecule	C01CA03
linezolid	small molecule	J01XX08
eucalyptus globulus pollen	biotech	
ambroxol	small molecule	R05CB06
watercress	biotech	
paspalum notatum pollen	biotech	
vorapaxar	small molecule	B01AC26
sodium lauryl sulfoacetate	small molecule	A06AG11
adenine	small molecule	
platanus racemosa pollen	biotech	
vayarin	small molecule	
amrubicin	small molecule	L01DB10
oxamniquine	small molecule	P02BA02
bedaquiline	small molecule	J04AK05
tafluprost	small molecule	S01EE05
plantago seed	biotech	
cilastatin	small molecule	
estradiol valerate	small molecule	
triclocarban	small molecule	
cinchocaine	small molecule	S02DA04
mupirocin	small molecule	R01AX06
porfimer sodium	small molecule	L01XD01
sage	biotech	
retapamulin	small molecule	D06AX13
butamben	small molecule	
cinitapride	small molecule	
anisotropine methylbromide	small molecule	
cochliobolus spicifer	biotech	
remoxipride	small molecule	N05AL04
rilmenidine	small molecule	C02AC06
equus caballus hair	biotech	
antazoline	small molecule	R01AC04
chenodeoxycholic acid	small molecule	A05AA01
beta vulgaris pollen	biotech	
trimethadione	small molecule	N03AC02
pinus rigida pollen	biotech	
vorinostat	small molecule	L01XX38
oxytetracycline	small molecule	J01AA56
rumex acetosella pollen	biotech	
elvitegravir	small molecule	J05AR18
uracil mustard	small molecule	
angiotensin ii	small molecule	
artemether	small molecule	P01BE02
rice	biotech	
rosuvastatin	small molecule	C10BX10
picric acid	small molecule	
polyethylene glycol 300	small molecule	
primidone	small molecule	N03AA03
kidney bean	biotech	
magaldrate	small molecule	A02AD02
benazepril	small molecule	C09AA07
sodium citrate	small molecule	B05CB02
norethisterone	small molecule	G03FB05
tipranavir	small molecule	J05AE09
sodium stibogluconate	small molecule	P01CB02
human botulinum neurotoxin a/b immune globulin	biotech	
watermelon	biotech	
cod, unspecified	biotech	
stannous fluoride	small molecule	A01AA04
papaverine	small molecule	G04BE02
famotidine	small molecule	A02BA03
bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated)	biotech	
radium ra 223 dichloride	small molecule	
pancuronium	small molecule	M03AC01
silicon dioxide	small molecule	
ecallantide	biotech	B06AC03
string bean	biotech	
enoxaparin	small molecule	B01AB05
diethylstilbestrol	small molecule	L02AA01
myrothecium verrucaria	biotech	
bf-200 ala	small molecule	
vincristine	small molecule	L01CA02
decamethonium	small molecule	
polyestradiol phosphate	small molecule	L02AA02
duck	biotech	
resveratrol	small molecule	
ximelagatran	small molecule	B01AE05
norelgestromin	small molecule	G03AA13
pegvaliase	small molecule	
ceftobiprole	small molecule	J01DI01
tilactase	biotech	A09AA04
probenecid	small molecule	M04AB01
dihydroergocristine	small molecule	C04AE54
valsartan	small molecule	C09DX02
sodium cellulose phosphate	small molecule	V03AG01
dexlansoprazole	small molecule	A02BC06
diflunisal	small molecule	N02BA11
aspergillus nidulans	biotech	
albutrepenonacog alfa	biotech	
imipramine	small molecule	N06AA02
icodextrin	small molecule	
dopexamine	small molecule	C01CA14
omeprazole	small molecule	A02BC01
sutilain	biotech	
argatroban	small molecule	B01AE03
chlorphenamine	small molecule	R06AB54
spinosad	small molecule	
ancestim	biotech	L03AA12
artemisia annua pollen	biotech	
quazepam	small molecule	N05CD10
benzalkonium	small molecule	D09AA11
deflazacort	small molecule	H02AB13
selenium sulfide	small molecule	D01AE13
haemophilus influenzae type b capsular polysaccharide meningococcal outer membrane protein conjugate antigen	biotech	
pinus nigra pollen	biotech	
miconazole	small molecule	A01AB09
hyoscyamine	small molecule	A03CB31
chlorhexidine	small molecule	S03AA04
amoxicillin	small molecule	J01CR50
c11-12 isoparaffin	small molecule	
betula occidentalis pollen	biotech	
clidinium	small molecule	A03CA02
allopurinol	small molecule	M04AA01
acetylsalicylic acid	small molecule	C10BX04
acer saccharum pollen	biotech	
quaternium-24	small molecule	
olive oil	small molecule	
balsalazide	small molecule	A07EC04
chlorpropamide	small molecule	A10BB02
pitavastatin	small molecule	C10AA08
iohexol	small molecule	V08AB02
fluorescein	small molecule	S01JA01
hordeum vulgare pollen	biotech	
eribulin	small molecule	L01XX41
n-acetylglucosamine	small molecule	
camazepam	small molecule	N05BA15
phenylephrine	small molecule	S01FB01
silanol	small molecule	
guanethidine	small molecule	C02CC02
maraviroc	small molecule	J05AX09
lomefloxacin	small molecule	J01MA07
tetracaine	small molecule	D04AB06
isosulfan blue	small molecule	
busulfan	small molecule	L01AB01
triptorelin	small molecule	L02AE04
seractide acetate	biotech	
dexrazoxane	small molecule	V03AF02
palonosetron	small molecule	A04AA55
caraway seed	biotech	
lorcaserin	small molecule	A08AA11
equine botulinum neurotoxin e immune fab2	biotech	
sulfur hexafluoride	small molecule	V08DA05
mephenesin	small molecule	M03BX06
parsley	biotech	
bictegravir	small molecule	
grapefruit	biotech	
beet	biotech	
econazole	small molecule	G01AF05
basil	biotech	
copanlisib	small molecule	
tritoqualine	small molecule	R06AX21
naloxegol	small molecule	A06AH03
phenytoin	small molecule	N03AB02
pimozide	small molecule	N05AG02
polaprezinc	small molecule	
carbamazepine	small molecule	N03AF01
pinus palustris pollen	biotech	
doxacurium chloride	small molecule	M03AC07
polistes metricus venom protein	biotech	
methoxamine	small molecule	C01CA10
trioxsalen	small molecule	D05AD01
blonanserin	small molecule	
methazolamide	small molecule	S01EC05
buprenorphine	small molecule	N02AE01
ursodeoxycholic acid	small molecule	A05AA02
benzyl alcohol	small molecule	P03AX06
colistimethate	small molecule	
tropisetron	small molecule	A04AA03
amitriptylinoxide	small molecule	
piretanide	small molecule	C03CA03
aluminum chlorohydrate	small molecule	M05BX02
fosaprepitant	small molecule	
ponatinib	small molecule	L01XE24
calcium	small molecule	M05BB02
irinotecan	small molecule	L01XX19
bassia scoparia pollen	biotech	
cupric oxide	small molecule	
amisulpride	small molecule	N05AL05
vemurafenib	small molecule	L01XE15
azathioprine	small molecule	R03DA20
trabectedin	small molecule	L01CX01
