drug	type	atc
methysergide	small molecule	N02CA04
callistemon citrinus pollen	biotech	
tiaprofenic acid	small molecule	M01AE11
almitrine	small molecule	R07AB07
sodium bisulfite	small molecule	
artemisia frigida pollen	biotech	
erythropoietin	biotech	B03XA01
doxapram	small molecule	R07AB01
drospirenone	small molecule	G03FA17
deferasirox	small molecule	V03AC03
cyclophosphamide	small molecule	L01AA01
spectinomycin	small molecule	J01XX04
aminophenazone	small molecule	N02BB53
populus tremuloides pollen	biotech	
colesevelam	small molecule	C10AC04
nitrofural	small molecule	D08AF01
nitric oxide	small molecule	R07AX01
common carp	biotech	
trichophyton mentagrophytes	biotech	
prazosin	small molecule	C02CA01
sincalide	small molecule	V04CC03
humicola grisea	biotech	
passiflora incarnata flower	small molecule	
adenosine	small molecule	C01EB10
oxyquinoline	small molecule	R02AA14
beractant	biotech	
zolpidem	small molecule	N05CF02
peppermint oil	small molecule	
piroxicam	small molecule	S01BC06
aceclofenac	small molecule	M01AB16
plecanatide	small molecule	
dasatinib	small molecule	L01XE06
phosphoric acid	small molecule	
bisoprolol	small molecule	C07BB07
naldemedine	small molecule	
droxidopa	small molecule	C01CA27
hard fat	small molecule	
cromoglicic acid	small molecule	S01GX01
methscopolamine	small molecule	A03CB01
acalabrutinib	small molecule	
epicoccum nigrum	biotech	
tetryzoline	small molecule	S01GA02
florbetapir (18f)	small molecule	V09AX05
quercus macrocarpa pollen	biotech	
fosfomycin	small molecule	J01XX01
diazolidinylurea	small molecule	
theobromine	small molecule	R03DA20
nadolol	small molecule	C07AA12
aluminum chloride	small molecule	D10AX01
artemisia tridentata pollen	biotech	
hydroxyamphetamine	small molecule	
doxorubicin	small molecule	L01DB01
lixisenatide	small molecule	A10BX10
phylloquinone	small molecule	B02BA01
hydrochlorothiazide	small molecule	C03AB03
trichophyton rubrum	biotech	
loxapine	small molecule	N05AH01
equine botulinum neurotoxin f immune fab2	biotech	
ataluren	small molecule	M09AX03
neostigmine	small molecule	N07AA51
haloperidol	small molecule	N05AD01
quercus agrifolia pollen	biotech	
theophylline	small molecule	R03DA54
tocofersolan	small molecule	A11HA08
cycrimine	small molecule	
l-arginine	small molecule	B05XB01
pertuzumab	biotech	L01XC13
inulin	small molecule	V04CH01
medicago sativa pollen	biotech	
melatonin	small molecule	N05CH01
cloxacillin	small molecule	J01CF02
lanolin	small molecule	
grain mill dust	biotech	
human papillomavirus type 16 l1 capsid protein residues 2-471 antigen	biotech	
hydralazine	small molecule	C02DB02
mannitol busulfan	small molecule	
nelarabine	small molecule	L01BB07
brotizolam	small molecule	N05CD09
empagliflozin	small molecule	A10BD19
mebendazole	small molecule	P02CA01
ramelteon	small molecule	N05CH02
phenol	small molecule	D08AE03
atropine	small molecule	S01FA01
oseltamivir	small molecule	J05AH02
rupatadine	small molecule	R06AX28
bordetella pertussis pertactin antigen	biotech	
protokylol	small molecule	
neisseria meningitidis serogroup b recombinant lp2086 a05 protein variant antigen	biotech	
foreskin keratinocyte (neonatal)	biotech	
burosumab	biotech	
polysorbate 80	small molecule	
pear	biotech	
fenpropidin	small molecule	
acetylcysteine	small molecule	V03AB23
ulipristal	small molecule	G03AD02
tetracycline	small molecule	S02AA08
meningococcal polysaccharide vaccine group w-135	biotech	
cariprazine	small molecule	N05AX15
oxacillin	small molecule	J01CR50
reposal	small molecule	N05CA12
nafcillin	small molecule	J01CR50
interferon gamma-1b	biotech	
dichlorobenzyl alcohol	small molecule	R02AA03
lutein	small molecule	
bexarotene	small molecule	L01XX25
idarucizumab	biotech	V03AB37
trolamine polypeptide oleate condensate	small molecule	
lumiracoxib	small molecule	M01AH06
amfecloral	small molecule	
calcium citrate	small molecule	A11GB01
romidepsin	small molecule	L01XX39
moroctocog alfa	biotech	
dexmethylphenidate	small molecule	N06BA11
salicylic acid	small molecule	D01AE12
alimemazine	small molecule	R06AD01
ergonovine	small molecule	G02AB03
sweet potato	biotech	
omalizumab	biotech	R03DX05
oxybutynin	small molecule	G04BD04
cefmenoxime	small molecule	J01DD05
l-glutamine	small molecule	A16AA03
carvedilol	small molecule	C07AG02
oxitriptan	small molecule	N06AX01
sequoia sempervirens pollen	biotech	
ferrous bisglycinate	small molecule	
nitroglycerin	small molecule	C05AE01
oxycodone	small molecule	N02AA55
nitrofurantoin	small molecule	J01XE51
lauric acid	small molecule	
bromus inermis pollen	biotech	
edoxaban	small molecule	
ibrutinib	small molecule	L01XE27
niacin	small molecule	C10BA01
corticorelin ovine triflutate	small molecule	
febuxostat	small molecule	M04AA03
elaeagnus angustifolia pollen	biotech	
pinus virginiana pollen	biotech	
potassium iodide	small molecule	R05CA02
pembrolizumab	biotech	L01XC18
darbepoetin alfa	biotech	B03XA02
bosutinib	small molecule	L01XE14
tiludronic acid	small molecule	M05BA05
pethidine	small molecule	N02AB72
8-chlorotheophylline	small molecule	R03DA20
shark liver oil	small molecule	
linaclotide	small molecule	A06AX04
metyrapone	small molecule	V04CD01
aceprometazine	small molecule	
lacidipine	small molecule	C08CA09
terconazole	small molecule	G01AG02
pseudoephedrine	small molecule	R01BA02
bromodiphenhydramine	small molecule	R06AA01
black olive	biotech	
mangafodipir	small molecule	V08CA05
mitiglinide	small molecule	A10BX08
pegaptanib	biotech	S01LA03
oxtriphylline	small molecule	R03DB02
pentolinium	small molecule	
autologous cultured chondrocytes	biotech	
sulfacetamide	small molecule	S01AB04
meriones unguiculatus skin	biotech	
trichothecium roseum	biotech	
streptococcus pneumoniae type 19a capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
terazosin	small molecule	G04CA03
progesterone	small molecule	G03DA04
clozapine	small molecule	N05AH02
ivacaftor	small molecule	R07AX30
nicotinamide	small molecule	A11HA01
prochlorperazine	small molecule	N05AB04
dehydrocholic acid	small molecule	
mebeverine	small molecule	A03AA04
polyvinyl alcohol	small molecule	
flupentixol	small molecule	N05AF01
follitropin	biotech	G03GA05
panobinostat	small molecule	L01XX42
dimetacrine	small molecule	N06AA18
pyrantel	small molecule	P02CC01
quinacrine	small molecule	P01AX05
sevoflurane	small molecule	N01AB08
nivolumab	biotech	L01XC17
insulin lispro	biotech	A10AC04
reslizumab	biotech	R03DX08
larix occidentalis pollen	biotech	
cidofovir	small molecule	J05AB12
glutethimide	small molecule	N05CE01
trichlormethiazide	small molecule	C03AA06
l-leucine	small molecule	
tinidazole	small molecule	J01RA11
d-alpha-tocopherol acetate	small molecule	
glecaprevir	small molecule	
caffeine	small molecule	V04CG30
brilliant green cation	small molecule	
aluminum zirconium pentachlorohydrate	small molecule	
ferrous cysteine glycinate	small molecule	
atriplex canescens pollen	biotech	
quinapril	small molecule	C09AA06
strontium chloride	small molecule	
ethyl macadamiate	small molecule	
hypromellose	small molecule	S01KA02
dimethicone 410	small molecule	
agave sisalana fiber	biotech	
hyaluronic acid	small molecule	S01KA01
equine botulinum neurotoxin a immune fab2	biotech	
sulconazole	small molecule	D01AC09
tioguanine	small molecule	L01BB03
taurolidine	small molecule	B05CA05
propyl alcohol	small molecule	
amobarbital	small molecule	N05CA02
hypochlorite	small molecule	D08AX07
dill	biotech	
fospropofol	small molecule	
clorazepate	small molecule	
amphiachyris dracunculoides pollen	biotech	
urokinase	biotech	B01AD04
ferric sulfate	small molecule	
cyproheptadine	small molecule	R06AX02
methantheline	small molecule	A03AB07
temazepam	small molecule	N05CD07
indium in-111 oxyquinoline	small molecule	
drometrizole trisiloxane	small molecule	
cochliobolus lunatus	biotech	
streptococcus pneumoniae type 14 capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
trimetrexate	small molecule	P01AX07
protocatechualdehyde	small molecule	
hemin	biotech	
boric acid	small molecule	S01AX07
phendimetrazine	small molecule	
yellow fever vaccine	biotech	J07BL01
sacubitril	small molecule	C09DX04
foreskin fibroblast (neonatal)	biotech	
agomelatine	small molecule	N06AX22
potassium chloride	small molecule	B05XA01
vasopressin	small molecule	H01BA06
telmisartan	small molecule	C09DB04
vestronidase alfa	biotech	
mepiprazole	small molecule	
canis lupus familiaris hair	biotech	
benzthiazide	small molecule	G01AE10
herring	biotech	
triprolidine	small molecule	R06AX07
spirapril	small molecule	C09AA11
amino acids	small molecule	B05BA01
trichophyton schoenleinii	biotech	
atezolizumab	biotech	
gemifloxacin	small molecule	J01MA15
aloe polysaccharide	biotech	
sertindole	small molecule	N05AE03
bordetella pertussis toxoid antigen (formaldehyde, glutaraldehyde inactivated)	biotech	
dutasteride	small molecule	G04CB02
fondaparinux	small molecule	B01AX05
ketorolac	small molecule	M01AB15
metformin	small molecule	A10BA02
artemotil	small molecule	P01BE04
sodium iodide	small molecule	
obinutuzumab	biotech	L01XC15
carteolol	small molecule	S01ED55
molybdenum	small molecule	
nicergoline	small molecule	C04AE02
alpha-linolenic acid	small molecule	
benzathine benzylpenicillin	small molecule	J01CR50
gemeprost	small molecule	G02AD03
safinamide	small molecule	
oxymorphone	small molecule	
axicabtagene ciloleucel	biotech	
khuskia oryzae	biotech	
oxytocin	biotech	H01BB02
fluprednidene	small molecule	D07AB07
piperazine	small molecule	P02CB01
calfactant	small molecule	
ceftazidime	small molecule	J01DD52
ranolazine	small molecule	C01EB18
epirizole	small molecule	
estazolam	small molecule	N05CD04
syncephalastrum racemosum	biotech	
iodide	small molecule	
xylitol	small molecule	
capsicum oleoresin	biotech	
permethrin	small molecule	P03AC54
ceforanide	small molecule	J01DC11
pazopanib	small molecule	L01XE11
cefpodoxime	small molecule	J01DD13
methylene blue	small molecule	V03AB17
decitabine	small molecule	L01BC08
tianeptine	small molecule	N06AX14
ailanthus altissima pollen	biotech	
ethynodiol diacetate	small molecule	
ciclopirox	small molecule	G01AX12
mirtazapine	small molecule	N06AX11
formic acid	small molecule	
equus caballus dander	biotech	
eucalyptol	small molecule	R05CA13
conestat alfa	biotech	B06AC04
interferon alfa-2a, recombinant	biotech	L03AB04
methotrimeprazine	small molecule	N05AA02
p-nitrobiphenyl	small molecule	
ganirelix	small molecule	H01CC01
ornithine	small molecule	
midostaurin	small molecule	
cimetidine	small molecule	A02BA01
thonzonium	small molecule	
streptococcus pneumoniae type 23f capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
beef	biotech	
curcumin	small molecule	
rye	biotech	
anagrelide	small molecule	L01XX35
quinestrol	small molecule	
nitrous oxide	small molecule	N01AX63
sus scrofa hair	biotech	
procaine merethoxylline	small molecule	
tragacanth	biotech	
fluvastatin	small molecule	C10AA04
exemestane	small molecule	L02BG06
phleum pratense pollen	biotech	
sulfamethizole	small molecule	B05CA04
streptococcus pneumoniae type 9v capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
roflumilast	small molecule	R03DX07
prazepam	small molecule	N05BA11
salix lucida ssp. lasiandra pollen	biotech	
maprotiline	small molecule	N06AA21
atracurium	small molecule	M03AC04
certolizumab pegol	biotech	L04AB05
sennosides	small molecule	A06AB56
equine botulinum neurotoxin c immune fab2	biotech	
pinus echinata pollen	biotech	
potassium nitrate	small molecule	
methoxy polyethylene glycol-epoetin beta	biotech	B03XA03
tofacitinib	small molecule	L04AA29
morphine	small molecule	N02AA01
altretamine	small molecule	L01XX03
peg-100 stearate	small molecule	
xanthan gum	small molecule	
antihemophilic factor (recombinant), pegylated	biotech	
dihydro-alpha-ergocryptine	small molecule	
clobetasol propionate	small molecule	
methadone	small molecule	N07BC02
unoprostone	small molecule	S01EE02
delafloxacin	small molecule	
eptifibatide	biotech	B01AC16
insulin glulisine	biotech	A10AB06
egg	biotech	
chrysonilia sitophila	biotech	
aspergillus flavus	biotech	
copper	small molecule	
inosine	small molecule	G01AX02
sertraline	small molecule	N06AB06
fingolimod	small molecule	L04AA27
aviptadil	small molecule	
tramadol	small molecule	N02AX52
glycyrrhizic acid	small molecule	A05BA08
tolperisone	small molecule	M03BX04
kinetin	small molecule	
cyclopentolate	small molecule	S01FA54
levamisole	small molecule	P02CE01
meclocycline	small molecule	
lisinopril	small molecule	C09AA03
cauliflower	biotech	
vespula maculifrons venom protein	biotech	
atractylodes japonica root	small molecule	
tocilizumab	biotech	L04AC07
penicillium roqueforti	biotech	
selenium	small molecule	
iomeprol	small molecule	V08AB10
yohimbine	small molecule	G04BE04
nystatin	small molecule	G01AA01
aprindine	small molecule	C01BB04
panthenol	small molecule	
sufentanil	small molecule	N01AH03
rhus glabra pollen	biotech	
amitriptyline	small molecule	N06CA01
amodiaquine	small molecule	P01BF03
romiplostim	biotech	B02BX04
niclosamide	small molecule	P02DA01
magnesium carbonate	small molecule	A02AA01
fenoterol	small molecule	R03AL01
fosnetupitant	small molecule	
enflurane	small molecule	N01AB04
armodafinil	small molecule	N06BA13
digoxin immune fab (ovine)	biotech	V03AB24
penicillium chrysogenum var. chrysogenum	biotech	
varicella zoster vaccine (live/attenuated)	biotech	
magnesium chloride	small molecule	A12CC01
histidine	small molecule	
manidipine	small molecule	C08CA11
umeclidinium	small molecule	R03BB07
coagulation factor viia recombinant human	biotech	B02BD08
moxidectin	small molecule	
tromethamine	small molecule	B05XX02
carya tomentosa pollen	biotech	
ioflupane i-123	small molecule	V09AB03
rice bran oil	small molecule	
cobimetinib	small molecule	
urea c-14	small molecule	
juglans nigra pollen	biotech	
mung bean	biotech	
alclometasone	small molecule	S01BA10
nicotine	small molecule	N07BA01
technetium tc-99m oxidronate	small molecule	V09BA01
amikacin	small molecule	S01AA21
carbon dioxide	small molecule	V03AN02
vapreotide	small molecule	H01CB04
acamprosate	small molecule	N07BB03
technetium tc-99m tilmanocept	small molecule	V09IA09
chlorobutanol	small molecule	A04AD54
ginkgo biloba	small molecule	N06DA53
hymenoclea salsola pollen	biotech	
butylscopolamine	small molecule	A03BB01
potassium gluconate	small molecule	A12BA05
salix nigra bark	biotech	
hycanthone	small molecule	
digitoxin	small molecule	C01AA04
mefenamic acid	small molecule	M01AG01
ospemifene	small molecule	G03XC05
gadoteridol	small molecule	V08CA04
laropiprant	small molecule	
schinus molle pollen	biotech	
milnacipran	small molecule	N06AX17
fomivirsen	biotech	S01AD08
florbetaben (18f)	small molecule	V09AX06
bicalutamide	small molecule	L02BB03
eszopiclone	small molecule	N05CF04
lolium perenne subsp. multiflorum pollen	biotech	
tamarix gallica pollen	biotech	
benznidazole	small molecule	P01CA02
stemphylium sarciniforme	biotech	
etanercept	biotech	L04AB01
dipotassium phosphate	small molecule	
chymopapain	biotech	M09AB01
olaparib	small molecule	L01XX46
piperacillin	small molecule	J01CA12
epidermophyton floccosum	biotech	
heroin	small molecule	N07BC06
clomocycline	small molecule	J01AA11
pinus thunbergii pollen	biotech	
iron saccharate	small molecule	B03AB02
poppy seed	biotech	
alitretinoin	small molecule	D11AH04
doripenem	small molecule	J01DH04
dexamethasone	small molecule	R01AD03
galactose	small molecule	V04CE01
zucapsaicin	small molecule	M02AB02
baccharis halimifolia pollen	biotech	
ceftibuten	small molecule	J01DD14
octinoxate	small molecule	D02BA02
macadamia nut	biotech	
cinalukast	small molecule	
crisaborole	small molecule	
magnesium acetate	small molecule	
gentian violet	small molecule	D01AE02
ammonia n-13	small molecule	
ibandronate	small molecule	M05BA06
fusarium oxysporum vasinfectum	biotech	
danaparoid	small molecule	B01AB09
folic acid	small molecule	B03AE01
bupropion	small molecule	A08AA62
english walnut	biotech	
chloroprocaine	small molecule	N01BA04
eftrenonacog alfa	biotech	
dabrafenib	small molecule	L01XE23
tetracosactide	small molecule	H01AA02
deutetrabenazine	small molecule	
iron isomaltoside 1000	small molecule	
sunitinib	small molecule	L01XE04
thymol	small molecule	
etoricoxib	small molecule	M01AH05
propranolol	small molecule	C07BA05
alogliptin	small molecule	A10BD13
rabeprazole	small molecule	A02BC04
ciprofloxacin	small molecule	J01MA02
pimecrolimus	small molecule	D11AH02
betula lenta whole	biotech	
ixazomib	small molecule	L01XX50
clobetasol	small molecule	D07CD01
trichophyton tonsurans	biotech	
sulfadiazine	small molecule	J01EE06
levothyroxine	small molecule	H03AA01
banana	biotech	
enfuvirtide	biotech	J05AX07
aspergillus fumigatus	biotech	
tapentadol	small molecule	N02AX06
neisseria meningitidis serogroup b recombinant lp2086 b01 protein variant antigen	biotech	
pramipexole	small molecule	N04BC05
d-glucose	small molecule	
amifostine	small molecule	V03AF05
glutamic acid	small molecule	A09AB01
glycerin	small molecule	A06AG04
azelaic acid	small molecule	D10AX03
cocoa butter	small molecule	
salbutamol	small molecule	R03AL02
pinus ponderosa pollen	biotech	
regorafenib	small molecule	L01XE21
methyltestosterone	small molecule	G03EA01
lapatinib	small molecule	L01XE07
lynestrenol	small molecule	G03AA03
carbamide peroxide	small molecule	
tinzaparin	small molecule	B01AB10
protamine sulfate	biotech	
penicillium glaucum	biotech	
castor oil	small molecule	A06AB05
phenyl aminosalicylate	small molecule	
podofilox	small molecule	D06BB04
levomenol	small molecule	
haddock	biotech	
streptococcus pneumoniae type 2 capsular polysaccharide antigen	biotech	
azithromycin	small molecule	J01FA10
boscalid	small molecule	
strontium chloride sr-89	small molecule	V10BX01
melopsittacus undulatus feather	biotech	
fenspiride	small molecule	R03BX01
betula populifolia pollen	biotech	
ergoloid mesylate	small molecule	
nesiritide	biotech	C01DX19
fluoride ion	small molecule	
technetium tc-99m disofenin	small molecule	V09DA01
phenindione	small molecule	B01AA02
danthron	small molecule	A06AB53
iopromide	small molecule	V08AB05
emedastine	small molecule	S01GX06
ethotoin	small molecule	N03AB01
nisoldipine	small molecule	C08CA07
rilpivirine	small molecule	J05AR19
ezogabine	small molecule	N03AX21
zileuton	small molecule	
chromic chloride	small molecule	
juniperus osteosperma pollen	biotech	
lisdexamfetamine	small molecule	N06BA12
lymecycline	small molecule	J01AA04
antilymphocyte immunoglobulin (horse)	biotech	L04AA03
rumex altissimus pollen	biotech	
cyclizine	small molecule	R06AE03
tolmetin	small molecule	M01AB03
trolamine salicylate	small molecule	
natalizumab	biotech	L04AA23
vespula vulgaris venom protein	biotech	
telotristat ethyl	small molecule	
naproxen	small molecule	M01AE02
coffee bean	biotech	
paecilomyces variotii	biotech	
normethadone	small molecule	R05DA06
tretinoin	small molecule	L01XX14
carbidopa	small molecule	
camphor	small molecule	C01EB02
clobazam	small molecule	N05BA09
ingenol mebutate	small molecule	D06BX02
picea pungens pollen	biotech	
trypsin	small molecule	M09AB52
tolbutamide	small molecule	A10BB03
ouabain	small molecule	C01AC01
trichophyton verrucosum	small molecule	
simethicone	small molecule	
selenious acid	small molecule	A12CE02
oritavancin	small molecule	J01XA05
thyroglobulin	biotech	
streptococcus pneumoniae type 22f capsular polysaccharide antigen	biotech	
sporisorium cruentum	biotech	
tetanus immune globulin	biotech	J06BB02
lenalidomide	small molecule	L04AX04
danazol	small molecule	G03XA01
tacrolimus	small molecule	D11AH01
adefovir dipivoxil	small molecule	J05AF08
cefonicid	small molecule	J01DC06
isoflurophate	small molecule	
betula nigra pollen	biotech	
dabigatran etexilate	small molecule	B01AE07
meticillin	small molecule	J01CR50
sulesomab	biotech	V09HA04
indomethacin	small molecule	S01CC02
synthetic camphor	small molecule	
clofazimine	small molecule	J04BA01
acer negundo pollen	biotech	
eplerenone	small molecule	C03DA04
repaglinide	small molecule	A10BD14
sipuleucel-t	biotech	L03AX17
pyridoxal phosphate	small molecule	A11HA06
human rho(d) immune globulin	biotech	
fursultiamine	small molecule	
quercus nigra pollen	biotech	
quercus dumosa pollen	biotech	
verticillium albo-atrum	biotech	
magnesium oxide	small molecule	A12CC10
cupric chloride	small molecule	
quinagolide	small molecule	G02CB04
benzylpenicilloyl polylysine	small molecule	J01CR50
cefamandole	small molecule	J01DC03
etidronic acid	small molecule	M05BB01
rhodotorula rubra	biotech	
microascus brevicaulis	biotech	
dexbrompheniramine	small molecule	R06AB56
vardenafil	small molecule	G04BE09
barium sulfate	small molecule	V08BA02
ambrosia dumosa pollen	biotech	
tubocurarine	small molecule	M03AA02
bismuth subcitrate	small molecule	A02BD08
brimonidine	small molecule	D11AX21
voretigene neparvovec	biotech	
ceftriaxone	small molecule	J01DD04
candida tropicalis	biotech	
neon	small molecule	
sulfoxone	small molecule	J04BA03
cochliobolus sativus	biotech	
ox bile extract	biotech	
fusarium graminearum	biotech	
oxymetazoline	small molecule	R01AA05
acetarsol	small molecule	P01CD02
poloxamer 188	small molecule	
phenylpropanolamine	small molecule	R01BA51
poa compressa pollen	biotech	
pleospora betae	biotech	
tegafur	small molecule	L01BC53
cianidanol	small molecule	
natamycin	small molecule	D01AA02
zanamivir	small molecule	J05AH01
idursulfase	biotech	A16AB09
eperisone	small molecule	M03BX09
sodium carbonate	small molecule	
stachybotrys chartarum	biotech	
icatibant	small molecule	B06AC02
fencamfamine	small molecule	N06BA06
carprofen	small molecule	
pinus resinosa pollen	biotech	
etonogestrel	small molecule	G03AC08
citicoline	small molecule	N06BX06
populus alba pollen	biotech	
minoxidil	small molecule	D11AX01
streptokinase	biotech	B01AD01
benzonatate	small molecule	R05DB01
cangrelor	small molecule	B01AC25
coagulation factor ix (recombinant)	biotech	B02BD09
alfacalcidol	small molecule	A11CC03
bos taurus hair	biotech	
propolis wax	small molecule	
sulisobenzone	small molecule	
ticlopidine	small molecule	B01AC05
mangifera indica pollen	biotech	
penicillium expansum	biotech	
crizotinib	small molecule	L01XE16
abiraterone	small molecule	L02BX03
streptococcus pneumoniae type 19f capsular polysaccharide antigen	biotech	
gadopentetate dimeglumine	small molecule	
quercus stellata pollen	biotech	
nomegestrol	small molecule	G03FB12
sodium hydroxide	small molecule	
ambrosia trifida pollen	biotech	
poloxamer 407	small molecule	
taliglucerase alfa	biotech	A16AB11
green bell pepper	biotech	
cilostazol	small molecule	B01AC23
ketotifen	small molecule	S01GX08
phentolamine	small molecule	V03AB36
creatine	small molecule	
fidaxomicin	small molecule	A07AA12
insulin human	biotech	A10AC01
articaine	small molecule	N01BB08
ramosetron	small molecule	
fagus grandifolia pollen	biotech	
streptococcus pneumoniae type 11a capsular polysaccharide antigen	biotech	
clarithromycin	small molecule	A02BD05
robinia pseudoacacia pollen	biotech	
nafamostat	small molecule	
dl-dimyristoylphosphatidylcholine	small molecule	
dulaglutide	biotech	A10BX14
terpin hydrate	small molecule	
ipratropium	small molecule	R03BB01
ixabepilone	small molecule	L01DC04
lenvatinib	small molecule	L01XE29
methyclothiazide	small molecule	C03AA08
methohexital	small molecule	N01AF01
onion	biotech	
atriplex wrightii pollen	biotech	
huperzine-a	small molecule	
piracetam	small molecule	N06BX03
eggplant	biotech	
thioproperazine	small molecule	N05AB08
idoxuridine	small molecule	J05AB02
ondansetron	small molecule	A04AA01
durvalumab	biotech	
histamine	small molecule	L03AX14
betamethasone	small molecule	S01BB04
glucarpidase	biotech	V03AF09
thiamylal	small molecule	N05CB01
hydrotalcite	small molecule	A02AD04
chaetomium globosum	biotech	
melilotus officinalis pollen	biotech	
acer macrophyllum pollen	biotech	
millet seed	biotech	
astemizole	small molecule	R06AX11
ethyl chloride	small molecule	N01BX01
scallop	biotech	
streptococcus pneumoniae type 8 capsular polysaccharide antigen	biotech	
epirubicin	small molecule	L01DB03
imiquimod	small molecule	D06BB10
rifabutin	small molecule	J04AB04
black pepper	biotech	
influenza b virus b/phuket/3073/2013 antigen (formaldehyde inactivated)	biotech	
cefotiam	small molecule	J01DC07
platanus hybrida pollen	biotech	
cabbage	biotech	
hydroflumethiazide	small molecule	C03AB02
tiotropium	small molecule	R03AL06
technetium tc-99m sestamibi	small molecule	V09GA01
sarocladium strictum	biotech	
dichloroacetic acid	small molecule	
cladosporium cladosporioides	biotech	
metronidazole	small molecule	A02BD08
interferon alfa-2b, recombinant	biotech	L03AB05
ergosterol	small molecule	
pipradrol	small molecule	N06BX15
mexiletine	small molecule	C01BB02
artenimol	small molecule	P01BE05
moxifloxacin	small molecule	J01MA14
orlistat	small molecule	A08AB01
diiodohydroxyquinoline	small molecule	G01AC01
framycetin	small molecule	R01AX08
amylocaine	small molecule	
vinblastine	small molecule	L01CA01
dactinomycin	small molecule	L01DA01
phosphorus	small molecule	
chloroxylenol	small molecule	D08AE05
amlodipine	small molecule	C09DX01
vonicog alfa	biotech	
liraglutide	biotech	A10BX07
lamotrigine	small molecule	N03AX09
foscarnet	small molecule	J05AD01
aripiprazole lauroxil	small molecule	
ioversol	small molecule	V08AB07
sulfasalazine	small molecule	A07EC01
aloglutamol	small molecule	A02AB06
enzacamene	small molecule	
diazoxide	small molecule	V03AH01
juniperus virginiana pollen	biotech	
aliskiren	small molecule	C09DX02
molsidomine	small molecule	C01DX12
dioxybenzone	small molecule	
ferumoxytol	small molecule	
elotuzumab	biotech	
cycloserine	small molecule	J04AB01
teriflunomide	small molecule	L04AA31
tezacaftor	small molecule	
hydrocodone	small molecule	R05DA03
technetium tc-99m tetrofosmin	small molecule	V09GA02
agrostis stolonifera pollen	biotech	
promethazine	small molecule	V03AB05
hydromorphone	small molecule	N02AG04
cefdinir	small molecule	J01DD15
trilostane	small molecule	H02CA01
glutathione disulfide	small molecule	
isotretinoin	small molecule	D10AD54
benzydamine	small molecule	M01AX07
lyme disease vaccine (recombinant ospa)	biotech	
rumex obtusifolius pollen	biotech	
salix discolor pollen	biotech	
bendroflumethiazide	small molecule	C03EA13
calcium levulinate	small molecule	A12AA30
prothrombin	biotech	
pidotimod	small molecule	L03AX05
pentetreotide	small molecule	
rubella virus vaccine	biotech	J07BJ01
tannic acid	small molecule	
dimethyl fumarate	small molecule	N07XX09
chorionic gonadotropin (human)	biotech	G03GA01
baloxavir marboxil	small molecule	
brinzolamide	small molecule	S01EC04
dextrothyroxine	small molecule	C10AX01
amprenavir	small molecule	J05AE05
budesonide	small molecule	R03AK07
roxithromycin	small molecule	J01FA06
buckwheat	biotech	
moxonidine	small molecule	C02LC05
piritramide	small molecule	N02AC03
aminobenzoic acid	small molecule	D02BA01
cupressus arizonica pollen	biotech	
flurbiprofen	small molecule	M01AE09
ganciclovir	small molecule	R03DA20
amiodarone	small molecule	C01BD01
cucumber	biotech	
plantago lanceolata pollen	biotech	
indigotindisulfonic acid	small molecule	V04CH02
goserelin	small molecule	L02AE03
mitotane	small molecule	L01XX23
memantine	small molecule	N06DX01
codeine	small molecule	N02AA79
certoparin	small molecule	
sulbactam	small molecule	J01CG01
progabide	small molecule	N03AG05
pirenzepine	small molecule	A02BX03
olanzapine	small molecule	N05AH03
cetyl ethylhexanoate	small molecule	
fludiazepam	small molecule	N05BA17
fluticasone propionate	small molecule	
tanacetum cinerariifolium flower	biotech	
ambrosia psilostachya pollen	biotech	
enoximone	small molecule	C01CE03
azelnidipine	small molecule	
ethoheptazine	small molecule	
amorolfine	small molecule	D01AE16
sage oil	small molecule	
colletotrichum coccodes	biotech	
triflusal	small molecule	B01AC18
fleroxacin	small molecule	J01MA08
sapropterin	small molecule	A16AX07
conjugated estrogens	small molecule	G03CC07
dorzolamide	small molecule	S01EC03
chlormerodrin	small molecule	
temocillin	small molecule	J01CR50
propyliodone	small molecule	V08AD03
picosulfuric acid	small molecule	A06AB58
fentanyl	small molecule	N01AH51
fosinopril	small molecule	C09AA09
taurine	small molecule	
phenylbutyric acid	small molecule	A16AX03
isopropyl alcohol	small molecule	D08AX05
voglibose	small molecule	A10BF03
tipiracil	small molecule	
melphalan	small molecule	L01AA03
streptococcus pneumoniae type 33f capsular polysaccharide antigen	biotech	
nedocromil	small molecule	R03BC03
fenproporex	small molecule	
capecitabine	small molecule	L01BC06
diphenoxylate	small molecule	A07DA01
clostridium tetani toxoid antigen (formaldehyde inactivated)	biotech	J07AM52
phenyltoloxamine	small molecule	
ustilago tritici	biotech	
etoposide	small molecule	L01CB01
bassia hyssopifolia pollen	biotech	
latanoprostene bunod	small molecule	
sorbitol	small molecule	A06AD18
apiospora montagnei	biotech	
eprazinone	small molecule	R05CB04
heptabarbital	small molecule	N05CA11
rizatriptan	small molecule	N02CC04
nicorandil	small molecule	C01DX16
